,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
4316,67684,CASEYS #2490,"I-35, EXIT 124 & US-69",Story City,IA,320,3.06233333,42.022560,-93.610360
4317,67685,CASEYS #2792,"I-380/US-218, EXIT 13",Cedar Rapids,IA,380,3.499,41.987350,-91.656670
4318,67686,CASEYS #2956,"I-315/US-81, EXIT 40",Hesston,KS,570,3.199,38.147610,-97.421090
4319,67690,CEFCO #64,ST RT 14,Mexia,TX,765,3.099,31.670420,-96.496750
4320,67695,MOREHEAD TRUCKSTOP,"I-64, EXIT 133 & SR- 801",Morehead,KY,255,3.599,38.139930,-83.549120
4321,67697,FLORENCE TRAVEL PLAZA,"I-95, EXIT 150",Timmonsville                            ,SC,42,3.999,34.066240,-79.954890
4322,67698,FRONTIER TRAVEL CENTER,US-12 & US-85,Bowman,ND,807,3.53233333,46.182470,-103.396520
4323,67699,GAP FARMS TRAVEL CENTER,"I-20, EXIT 69 & SR-151",Arcadia                                 ,LA,590,3.249,32.563970,-92.913140
4324,67701,MARATHON,"I-94, EXIT 331",Casselton,ND,341,3.31566666,46.873870,-97.215250
4325,67702,SPEEDWAY #6539,US-41/SR-45 & SR-52,Land O Lakes,FL,225,3.49566666,28.215990,-82.460000
4326,67703,SPEEDWAY #6880,CR-611,Clearwater,FL,225,3.37733333,27.898960,-82.700560
4327,67705,CITGO,US-1,North Brunswick,NJ,115,3.18566666,40.464040,-74.450740
4328,67706,SPEEDWAY #3495,US-1/9,Elizabeth,NJ,115,3.599,40.649930,-74.222120
4329,67707,SPEEDWAY #3503,"I-95, EXIT 13 & I-278/US-1/US-9",Linden,NJ,115,3.429,40.626840,-74.243060
4330,67711,HOUMA COTEAU TRAVEL PLAZA,I-90/SR-20,Houma                                   ,LA,725,3.06233333,29.597330,-90.719130
4331,67712,CASEYS #3810,"I-29, EXIT 132 & US-14",Volga,SD,530,3.279,44.326060,-96.925880
4332,67715,HUTCH'S #109,"I-40, EXIT 38",Elk City                                ,OK,483,2.969,35.387380,-99.405760
